ARG	feature	score_RF	score_Odds
K19077	K00016	0.0080419994919614	1.2049869923495864
K19077	K00019	2.865825813235668e-05	-0.5543096025905232
K19077	K00020	0.0031725008360566	-1.063644760845308
K19077	K00023	4.09520202514706e-16	-0.2105593476103131
K19077	K00024	0.0013462560077325	-0.9719153868659371
K19077	K00027	6.291938238808733e-05	0.6612342135467364
K19077	K00029	9.090098368197802e-05	-0.7253830544385029
K19077	K00033	0.0009478940460719	-0.869821130010928
K19077	K00060	4.234563184939671e-07	-0.256239649985248
K19077	K00064	4.97328709974103e-16	-0.1709917042213016
K19077	K00074	0.0030676301401462	0.6295091160555101
K19077	K00091	3.835312802897962e-16	-0.2828283945931227
K19077	K00097	1.6028192397439147e-16	-0.5795926410080102
K19077	K00104	0.0008891532009059	-0.0715308032393373
K19077	K00108	1.7839212682495623e-16	-0.6110942465031967
K19077	K00121	4.595929011929727e-16	-0.4208976487580078
K19077	K00127	2.2451947134377864e-16	-0.2979999692851777
K19077	K00135	0.0002165049146867	-0.8126219407633815
K19077	K00140	5.077984803017735e-05	-0.7502413325513146
K19077	K00161	0.0001020525908059	-0.7627089933225477
K19077	K00163	1.8726090118078662e-16	-0.6419619171605716
K19077	K00164	0.0024940782810903	-1.0977704385619746
K19077	K00208	8.444134147724436e-05	-0.7718953820136815
K19077	K00228	2.942736623433548e-05	-0.6313042584723413
K19077	K00239	0.0069994718973724	-1.2029037641803704
K19077	K00241	0.0037025616391353	-1.1329917690739724
K19077	K00242	2.8622506956363357e-16	-0.6416177536640213
K19077	K00243	0.0023960548693202	0.9933188522586636
K19077	K00249	0.0012077369750328	0.3727877358844914
K19077	K00252	3.592321132269646e-16	-0.6957600387204025
K19077	K00253	4.762179958964654e-16	-0.2945688878148026
K19077	K00262	1.0827794075992024e-05	0.7611504321535947
K19077	K00263	8.941838548371913e-16	-0.105645667560363
K19077	K00266	1.1784610451395898e-06	0.0952157714780831
K19077	K00283	0.0001492634380015	-0.1970097295238057
K19077	K00287	7.609887413083071e-05	0.2454889026391953
K19077	K00311	6.494829771866145e-16	-0.3859680422302573
K19077	K00318	2.0156529234536108e-16	-0.1695676074461109
K19077	K00324	3.548624516712791e-16	-0.7205910906843896
K19077	K00325	2.63691055728752e-16	-0.7103293331831227
K19077	K00333	6.333238932877275e-05	-0.66217634897078
K19077	K00334	0.0018236130748318	-0.9444850640486468
K19077	K00336	4.1164973808730343e-16	-0.5475612694413855
K19077	K00337	0.0002043612917301	-0.8630613596218162
K19077	K00339	0.0006755791289922	-0.9255511440126264
K19077	K00342	1.7061147735090598e-16	-0.7283121170281617
K19077	K00362	3.961770719723209e-05	-0.6791012798688489
K19077	K00363	2.993216299867883e-05	-0.661286123375415
K19077	K00372	3.158050107024944e-16	-0.2854020876618495
K19077	K00374	2.927386009281882e-16	-0.2495284460484906
K19077	K00375	0.0019847349570642	0.7105573359790508
K19077	K00383	5.590926580820557e-16	-0.4162860922704487
K19077	K00392	3.658623792051041e-16	-0.113034299301151
K19077	K00404	9.054798668316864e-16	-0.2652004882875722
K19077	K00412	2.0520354830162286e-16	-0.4504506177911541
