KO	AUC	Ngain	Nloss
K00561	0.8602238559262	182	540
K00663	0.7775439373800029	283	772
K00984	0.8374050046339202	92	102
K03739	0.8314393939393939	48	221
K03740	0.6818700114025086	30	256
K08151	0.8397369570715781	405	815
K14188	0.8921165884194054	288	367
K17836	0.7221107418323195	832	1081
K17881	0.884867531765342	8	0
K17910	0.8521504339440694	69	189
K18214	0.9307733587740744	12	132
K18344	0.930651572761839	14	282
K18345	0.8872053872053871	32	388
K18552	0.8556692523518733	90	122
K18589	0.9022615823757594	18	22
K18698	0.8312356555859925	46	0
K18782	0.8864968440036068	5	0
K18795	0.8420799519086263	9	0
K18817	0.6531973951104942	60	103
K19272	0.8093794554489707	57	57
K19273	0.8707126173011516	35	142
K19278	0.88916317684226	28	25
K19279	0.8886322463768117	25	3
K19545	0.8673097945521958	220	252
K19883	0.9210826210826212	11	3
K00638	0.8526126126126126	154	317
K00662	0.7614186851211072	521	532
K00897	0.98014440433213	43	281
K02171	0.8705977757182577	386	1093
K02172	0.9614174479580484	148	1135
K03367	0.8123615806038	289	903
K03395	0.814149156424827	192	272
K03585	0.4721669980119284	115	621
K04343	0.8397142377676025	283	686
K05593	0.8671001552795031	145	701
K06880	0.8351110333974471	576	976
K06979	0.8436154551262465	227	122
K07260	0.7968622323909135	412	534
K07644	0.9102070293692824	96	776
K07660	0.9988372093023256	17	198
K07665	0.9391238910012674	134	781
K07690	0.920584079133302	11	172
K08160	0.8976728268309377	11	74
K08167	0.8152438487932196	355	668
K08168	0.8991190253045923	63	441
K08170	0.8431933842239187	98	219
K08217	0.7659833772876208	892	848
K08641	0.6379244112171626	698	692
K10673	0.8214285714285714	70	136
K12340	0.9073099415204676	68	468
K14205	0.8169054441260745	252	875
K15632	0.914281725533994	18	110
K15739	0.8715129635707254	37	162
K17840	0.98177808727948	47	350
K17880	0.8760255241567912	93	366
K17882	0.9513646844334817	11	142
K18093	0.9699140401146132	22	28
K18094	0.9736842105263158	10	28
K18095	0.997229916897507	10	27
K18104	0.9408163265306122	25	310
K18129	0.998166819431714	7	17
K18138	0.9669376693766938	112	1158
K18139	0.9423398328690809	169	1181
K18143	0.8958910433979687	119	376
K18144	0.9082308420056764	132	387
K18145	0.8287893541058098	79	133
K18146	0.8384315906562848	90	183
K18217	0.9936766034327008	81	0
K18218	0.925066996495568	220	660
K18220	0.8873926073926073	261	699
K18221	0.9902985665637126	33	6
K18230	0.95	26	666
K18231	0.8683897801544861	81	598
K18232	0.9401161014359914	16	194
K18233	0.976697247706422	7	223
K18234	0.7694586376602613	370	690
K18235	0.7861324239840863	226	619
K18236	0.8380647130647131	61	174
K18294	0.8756	136	444
K18295	0.8988186954288649	19	119
K18296	0.8962851782363978	30	105
K18297	0.9137434554973822	140	973
K18298	0.9407640232108316	22	134
K18299	0.9353378596831556	21	221
K18300	0.8678571428571429	66	457
K18301	0.9130409149864404	237	1227
K18302	0.979502425285558	40	403
K18303	0.9895604395604396	39	413
K18304	0.956338028169014	39	146
K18346	0.933920704845815	403	342
K18347	0.9022251633716604	41	194
K18348	0.9493670886075948	16	262
K18349	0.9573260696856204	28	486
K18350	0.9254469987228608	22	542
K18351	0.9774464119291706	34	417
K18352	0.9930955746439056	24	650
K18353	0.9084008097165992	331	643
K18553	0.8951858913250714	56	418
K18554	0.903042163316136	195	586
K18555	0.826478652565609	467	1111
K18591	0.9653431101272828	5	2
K18768	0.9473000118161408	8	0
K18780	0.9665446782555656	14	0
K18790	0.9634689334142884	7	1
K18791	0.8084080717488789	5	1
K18792	0.9513181688398212	5	0
K18815	0.8261348897535669	139	358
K18816	0.8017986400526431	240	331
K18824	0.9022536865162704	80	30
K18844	0.7708745548080729	106	343
K18845	0.780119801084991	26	22
K18866	0.9640287769784172	23	206
K18900	0.956944837340877	93	1040
K18901	0.9385437541750168	44	392
K18902	0.9384564204923486	40	408
K18903	0.8036093418259023	48	634
K18907	0.8970149253731343	21	481
K18908	0.8667377398720683	127	698
K18909	0.9272459499263624	97	522
K18974	0.9101897554019964	76	12
K18976	0.7927613941018766	5	0
K19271	0.7810990106603268	292	748
K19275	0.9438765333599284	9	7
K19276	0.912219227313567	5	0
K19300	0.8146605789975415	37	124
K19301	0.931039257771931	16	0
K19350	0.926262205286973	52	565
K19591	0.9506015037593986	126	861
K19593	0.8843384338433843	14	28
K19594	0.8561489182944759	53	59
K19595	0.8587793427230047	47	69
K21252	0.9552511415525116	64	192
K21288	0.940132783882784	12	2
K22351	0.9923561151079138	5	4
