KO	feature	name	probability_default	probability
K18791	K11472	glcE; glycolate oxidase FAD binding subunit	0.0052147112824819	0.0034479433533511
K18791	K03833	selB, EEFSEC; selenocysteine-specific elongation factor	0.0052147112824819	0.0040295649303489
K18791	K07749	frc; formyl-CoA transferase [EC:2.8.3.16]	0.0052147112824819	0.0044247135673789
K18791	K06956	K06956; uncharacterized protein	0.0052147112824819	0.006004669503726
K18791	K01175	ybfF; esterase [EC:3.1.-.-]	0.0052147112824819	0.0060047734353848
K18791	K10111	malK, mtlK, thuK; multiple sugar transport system ATP-binding protein [EC:3.6.3.-]	0.0052147112824819	0.0060071733385995
K18791	K11928	putP; sodium/proline symporter	0.0052147112824819	0.0061909424256767
K18791	K01443	nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	0.0052147112824819	0.0062049505854768
K18791	K03151	thiI; tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]	0.0052147112824819	0.006288679486626
K18791	human_lung		0.0052147112824819	0.0062949830372278
K18791	K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	0.0052147112824819	0.0062987042910528
K18791	human_gut		0.0052147112824819	0.0064024887969593
K18791	K06183	rsuA; 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]	0.0052147112824819	0.0065952579698598
K18791	K07071	K07071; uncharacterized protein	0.0052147112824819	0.006897390153312
K18791	mobileOG_000037860	rmuC	0.0052147112824819	0.0069833891243461
K18791	K07393	ECM4, yqjG; glutathionyl-hydroquinone reductase [EC:1.8.5.7]	0.0052147112824819	0.0071804886195963
K18791	mobileOG_000166773	topA	0.0052147112824819	0.0074829698435007
K18791	K03313	nhaA; Na+:H+ antiporter, NhaA family	0.0052147112824819	0.0076718613016163
K18791	K07029	dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	0.0052147112824819	0.0076726972254577
K18791	K03773	fklB; FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]	0.0052147112824819	0.0079607468464946
K18791	K05801	djlA; DnaJ like chaperone protein	0.0052147112824819	0.0085619052348629
K18791	K10805	tesB; acyl-CoA thioesterase II [EC:3.1.2.-]	0.0052147112824819	0.0087465504061855
K18791	mobileOG_000117539	ung	0.0052147112824819	0.008886155581412
K18791	K03113	EIF1, SUI1; translation initiation factor 1	0.0052147112824819	0.0091576960028968
K18791	K03684	rnd; ribonuclease D [EC:3.1.13.5]	0.0052147112824819	0.0110219982357387
